domain,scheme,x,rep,gen,best_fitness,mean_fitness,best_distance,mean_distance,mean_novelty
evogym,darwinian,0.1,2,20,0.2755474653169244,0.20174077817330857,4.769756425504099,2.3566034006993974,0.21477978111279508
evogym,darwinian,0.1,2,21,0.2755474653169244,0.20728754218156614,4.5397533820741645,2.540306180266511,0.2138965911725267
evogym,darwinian,0.1,2,22,0.3338848240326743,0.21109523167493277,4.5397533820741645,2.1992780499743363,0.2217969602686153
evogym,darwinian,0.1,2,23,0.3338848240326743,0.21666306095706706,4.5397533820741645,2.4902950264572383,0.21096996998963252
evogym,darwinian,0.1,2,24,0.3338848240326743,0.21616168730545696,4.5397533820741645,2.628598324700804,0.20441705560073364
evogym,darwinian,0.1,2,25,0.3338848240326743,0.21285770553563582,4.5397533820741645,2.509254157847598,0.19961444851200622
evogym,darwinian,0.1,2,26,0.3338848240326743,0.22235817540102687,4.5397533820741645,2.508277195716457,0.20295496405622732
evogym,darwinian,0.1,2,27,0.3338848240326743,0.23418066266411675,4.5397533820741645,2.601950291100026,0.20702809082918874
evogym,darwinian,0.1,2,28,0.3338848240326743,0.24220620401578136,4.5397533820741645,2.6722700956432037,0.21485182992701596
evogym,darwinian,0.1,2,29,0.3338848240326743,0.2489793097081133,4.5397533820741645,2.5968509088057696,0.22509436367324165
evogym,darwinian,0.1,2,30,0.3338848240326743,0.2513142563188609,4.772356328221951,2.625011547817912,0.22452432681771284
evogym,darwinian,0.1,3,0,0.2045947720506503,0.17940984718460898,2.673996627972938,1.4875707375110712,0.2284956831002288
evogym,darwinian,0.1,3,1,0.2045947720506503,0.17940984718460898,2.673996627972938,1.4875707375110712,0.2284956831002288
evogym,darwinian,0.1,3,2,0.2283968030249392,0.18139552696271355,3.718649458822537,1.636730506381907,0.20228955193084186
evogym,darwinian,0.1,3,3,0.2283968030249392,0.18742213192019372,3.718649458822537,1.6447586447881413,0.20823394913313292
evogym,darwinian,0.1,3,4,0.22866059553170437,0.17537922141108453,4.8596876309796055,2.0776275637823973,0.18823073716578825
evogym,darwinian,0.1,3,5,0.22866059553170437,0.17967491236689273,4.8596876309796055,1.9955118631456306,0.1922261998740054
evogym,darwinian,0.1,3,6,0.22866059553170437,0.17950143734362922,4.8596876309796055,2.009832462479471,0.18968170734587142
evogym,darwinian,0.1,3,7,0.22866059553170437,0.18764096333901756,4.8596876309796055,2.147988596990361,0.19659151768226651
evogym,darwinian,0.1,3,8,0.22866059553170437,0.18382573699052138,4.995100050603363,2.406950449821742,0.1909998539967766
evogym,darwinian,0.1,3,9,0.23211035713983771,0.19197535263208318,4.995100050603363,2.266955961583954,0.1956885009017646
evogym,darwinian,0.1,3,10,0.23211035713983771,0.19300675858260002,4.995100050603363,2.348971420863974,0.1952784259859082
evogym,darwinian,0.1,3,11,0.23211035713983771,0.19337574138569077,5.177537638048971,2.2474375323048053,0.20347323542044218
evogym,darwinian,0.1,3,12,0.23211035713983771,0.18436701032397543,5.943793749898107,2.605938483071235,0.18576385956645497
evogym,darwinian,0.1,3,13,0.23211035713983771,0.18950138087016816,5.943793749898107,2.415404996968784,0.19033293763270404
