domain,scheme,x,rep,gen,best_fitness,mean_fitness,best_distance,mean_distance,mean_novelty
evogym,darwinian,0.0,2,24,0.24146658706959484,0.17964422511273243,5.076525506630629,1.6349939304470387,0.23709737009530948
evogym,darwinian,0.0,2,25,0.27736675014447004,0.20036347041525518,5.076525506630629,1.5399819919771525,0.2359764653079029
evogym,darwinian,0.0,2,26,0.3172449100541885,0.20197745800588232,4.181295292728883,1.4995027562688419,0.2508465626474696
evogym,darwinian,0.0,2,27,0.32520357846109704,0.19533274299770179,3.427347465685814,1.1235283303916357,0.24754391605567877
evogym,darwinian,0.0,2,28,0.32520357846109704,0.2129723946089072,2.8756763979624727,1.0725106241080655,0.24628890999777048
evogym,darwinian,0.0,2,29,0.32941362769789434,0.22398169867485648,3.076926277757044,1.025938526557614,0.24781290343661877
evogym,darwinian,0.0,2,30,0.3296485858208339,0.23302082549571593,5.925581834924123,1.1895842204857692,0.2423022826585972
evogym,darwinian,0.0,3,0,0.21604715043421066,0.18935894549421314,3.7414503152805842,1.4227937608530374,0.2683356947009382
evogym,darwinian,0.0,3,1,0.21604715043421066,0.18935894549421314,3.7414503152805842,1.4227937608530374,0.2683356947009382
evogym,darwinian,0.0,3,2,0.21604715043421066,0.18717565989965887,3.7414503152805842,1.3501670969298512,0.241793454863601
evogym,darwinian,0.0,3,3,0.21607968823530138,0.1860650174056778,3.5171187213706863,1.3728373092003243,0.24598432077832344
evogym,darwinian,0.0,3,4,0.21276838759061728,0.175493335568366,3.824989931757495,1.4234323225538046,0.22998586638406718
evogym,darwinian,0.0,3,5,0.21552326684249132,0.17466833431834472,3.824989931757495,1.559385645348042,0.22530633980704368
evogym,darwinian,0.0,3,6,0.21552326684249132,0.17709672527156436,5.340830408336725,1.280654178098442,0.22937253334683452
evogym,darwinian,0.0,3,7,0.22067160273607553,0.17176535737448256,5.340830408336725,1.2135254135780102,0.22836760618463967
evogym,darwinian,0.0,3,8,0.22906245322467989,0.1832385594293106,3.6218106316892666,1.5220745072175197,0.23376807911026357
evogym,darwinian,0.0,3,9,0.2356048159553987,0.1852243979276113,2.9091615006961193,1.1751632602617286,0.22545139706155984
evogym,darwinian,0.0,3,10,0.2356048159553987,0.198625927396977,2.9091615006961193,1.35672617185766,0.23579630549166222
evogym,darwinian,0.0,3,11,0.2356048159553987,0.19530660849162726,3.8446316364049107,1.4303120591557354,0.24414886636130867
evogym,darwinian,0.0,3,12,0.2356048159553987,0.1868992839213458,3.8446316364049107,1.722586755157155,0.23635761984204873
evogym,darwinian,0.0,3,13,0.23673099793554708,0.1826006791753267,3.8446316364049107,1.535749778009715,0.22692350834589425
evogym,darwinian,0.0,3,14,0.24071990661777837,0.2037411370711839,3.8446316364049107,1.410951720784276,0.25079722053602593
evogym,darwinian,0.0,3,15,0.2450763779507817,0.20138630294626853,3.234973478376661,1.4966495014297987,0.2526355033056007
evogym,darwinian,0.0,3,16,0.2450763779507817,0.19602380039068149,3.388166195284449,1.5317341339089947,0.2570081923394981
evogym,darwinian,0.0,3,17,0.2450763779507817,0.1981315068413756,3.388166195284449,1.4618515939006254,0.2668810679678697
evogym,darwinian,0.0,3,18,0.21390736255932816,0.17963263086856984,4.035510406419984,1.2755766095084469,0.24999729740547427
evogym,darwinian,0.0,3,19,0.21390736255932816,0.17805986255478498,4.035510406419984,1.755780672822635,0.2337845599224356
evogym,darwinian,0.0,3,20,0.21692114288442993,0.18938103510125998,3.5903056297921783,1.5408136691378713,0.23641630885576626
evogym,darwinian,0.0,3,21,0.21788579306387248,0.18329748977252627,3.388166195284449,1.2405442169273466,0.22618419527112002
evogym,darwinian,0.0,3,22,0.21788579306387248,0.18519200874615888,3.388166195284449,1.5671774304400239,0.22494408651838413
evogym,darwinian,0.0,3,23,0.21857104433489477,0.18577894582333876,3.388166195284449,1.4185681454922476,0.22949685586952437
evogym,darwinian,0.0,3,24,0.220538047112854,0.18385108193785935,4.1355344668177585,1.410423589283088,0.22862656082031263
evogym,darwinian,0.0,3,25,0.2981251735437623,0.19281608341365614,3.6595894316174133,1.5325608804079383,0.22990767854271804
evogym,darwinian,0.0,3,26,0.2981251735437623,0.19316202650136188,3.752058618619715,1.2857953492127074,0.2354242031311881
evogym,darwinian,0.0,3,27,0.2981251735437623,0.18790278413013797,3.752058618619715,1.3125483821437223,0.23176926268094547
evogym,darwinian,0.0,3,28,0.2981251735437623,0.1888084829621648,3.6595894316174133,1.1385057084838124,0.22580772217493023
evogym,darwinian,0.0,3,29,0.34120731001808113,0.20527577297294625,3.6595894316174133,1.2684046530010702,0.2364263897380834
evogym,darwinian,0.0,3,30,0.34120731001808113,0.2135123019658193,3.6595894316174133,1.125971285042863,0.22986762962301183
evogym,darwinian,0.5,1,0,0.38834104991662843,0.27530209744723705,2.9313077252263393,1.4630647641973893,0.25915121406474817
